City.Aaren,Value,ValueFaux,y
Aarika,22,-1000,0
Abagael,22,-1000,0
Abagail,22,-1000,0
Abbe,22,-1000,0
Abbey,22,-1000,0
Abbi,22,-1000,0
Abbie,22,-1000,0
Abby,22,-1000,0
Abbye,22,-1000,0
Abigael,22,-1000,0
Abigail,22,-1000,0
Abigale,22,-1000,0
Abra,22,-1000,0
Ada,22,-1000,0
Adah,22,-1000,0
Adaline,22,-1000,0
Adan,22,-1000,0
Adara,22,-1000,0
Adda,22,-1000,0
Addi,22,-1000,0
Addia,22,-1000,0
Addie,22,-1000,0
Addy,22,-1000,0
Adel,22,-1000,0
Adela,22,-1000,0
Adelaida,22,-1000,0
Adelaide,22,-1000,0
Adele,22,-1000,0
Adelheid,22,-1000,0
Adelice,22,-1000,0
Adelina,22,-1000,0
Adelind,22,-1000,0
Adeline,22,-1000,0
Adella,22,-1000,0
Adelle,22,-1000,0
Adena,22,-1000,0
Adey,22,-1000,0
Adi,22,-1000,0
Adiana,22,-1000,0
Adina,22,-1000,0
Adora,22,-1000,0
Adore,22,-1000,0
Adoree,22,-1000,0
Adorne,22,-1000,0
Adrea,22,-1000,0
Adria,22,-1000,0
Adriaens,22,-1000,0
Adrian,22,-1000,0
Adriana,22,-1000,0
Adriane,22,-1000,0
Adrianna,22,-1000,0
Adrianne,22,-1000,0
Adriena,22,-1000,0
Adrienne,22,-1000,0
Aeriel,22,-1000,0
Aeriela,22,-1000,0
Aeriell,22,-1000,0
Afton,22,-1000,0
Ag,22,-1000,0
Agace,22,-1000,0
Agata,22,-1000,0
Agatha,22,-1000,0
Agathe,22,-1000,0
Aggi,22,-1000,0
Aggie,22,-1000,0
Aggy,22,-1000,0
Agna,22,-1000,0
Agnella,22,-1000,0
Agnes,22,-1000,0
Agnese,22,-1000,0
Agnesse,22,-1000,0
Agneta,22,-1000,0
Agnola,22,-1000,0
Agretha,22,-1000,0
Aida,22,-1000,0
Aidan,22,-1000,0
Aigneis,22,-1000,0
Aila,22,-1000,0
Aile,22,-1000,0
Ailee,22,-1000,0
Aileen,22,-1000,0
Ailene,22,-1000,0
Ailey,22,-1000,0
Aili,22,-1000,0
Ailina,22,-1000,0
Ailis,22,-1000,0
Ailsun,22,-1000,0
Ailyn,22,-1000,0
Aime,22,-1000,0
Aimee,22,-1000,0
Aimil,22,-1000,0
Aindrea,22,-1000,0
Ainslee,22,-1000,0
Ainsley,22,-1000,0
Ainslie,22,-1000,0
Ajay,22,-1000,0
Alaine,22,-1000,0
Alameda,22,-1000,0
Alana,22,-1000,0
Alanah,22,-1000,0
Alane,22,-1000,0
Alanna,22,-1000,0
Alayne,22,-1000,0
Alberta,22,-1000,0
Albertina,22,-1000,0
Albertine,22,-1000,0
Albina,22,-1000,0
Alecia,22,-1000,0
Aleda,22,-1000,0
Aleece,22,-1000,0
Aleen,22,-1000,0
Alejandra,22,-1000,0
Alejandrina,22,-1000,0
Alena,22,-1000,0
Alene,22,-1000,0
Alessandra,22,-1000,0
Aleta,22,-1000,0
Alethea,22,-1000,0
Alex,22,-1000,0
Alexa,22,-1000,0
Alexandra,22,-1000,0
Alexandrina,22,-1000,0
Alexi,22,-1000,0
Alexia,22,-1000,0
Alexina,22,-1000,0
Alexine,22,-1000,0
Alexis,22,-1000,0
Alfi,22,-1000,0
Alfie,22,-1000,0
Alfreda,22,-1000,0
Alfy,22,-1000,0
Ali,22,-1000,0
Alia,22,-1000,0
Alica,22,-1000,0
Alice,22,-1000,0
Alicea,22,-1000,0
Alicia,22,-1000,0
Alida,22,-1000,0
Alidia,22,-1000,0
Alie,22,-1000,0
Alika,22,-1000,0
Alikee,22,-1000,0
Alina,22,-1000,0
Aline,22,-1000,0
Alis,22,-1000,0
Alisa,22,-1000,0
Alisha,22,-1000,0
Alison,22,-1000,0
Alissa,22,-1000,0
Alisun,22,-1000,0
Alix,22,-1000,0
Aliza,22,-1000,0
Alla,22,-1000,0
Alleen,22,-1000,0
Allegra,22,-1000,0
Allene,22,-1000,0
Alli,22,-1000,0
Allianora,22,-1000,0
