City,Value,ValueFaux,y
Jolynn,-1000,74.2206739261746,0
Rana,88.161190203391,-1000,0
Jackelyn,83.6611201055348,-1000,0
Thia,91.26804061234,-1000,0
Kinna,3.58302243985236,-1000,0
Laverne,7.56943072192371,-1000,0
Merilee,20.4747291980311,-1000,0
Ted,40.8726992085576,-1000,0
Anstice,35.6488507473841,-1000,0
Giselle,66.6935638524592,-1000,0
Brandise,81.1013381462544,-1000,0
Enriqueta,55.2036210894585,-1000,0
Chantal,39.7004330763593,-1000,0
Shay,62.4237211886793,-1000,0
Dulcia,51.592439878732,-1000,0
Lisha,6.4046548679471,-1000,0
Pooh,41.5946813998744,-1000,0
Zea,59.4645594945177,-1000,0
Auria,98.4698896529153,-1000,0
Viviyan,1.26758271362633,-1000,0
Alayne,0.653513032011688,-1000,0
Tiffie,55.6839221855626,-1000,0
Sandye,50.9887325111777,-1000,0
Faunie,21.5705077862367,-1000,0
Marquita,55.2638096967712,-1000,0
Vivian,90.6490187859163,-1000,0
Kiersten,30.4737503174692,-1000,0
Ebony,38.0911948392168,-1000,0
Claresta,50.5819613579661,-1000,0
Fiann,8.90368199907243,-1000,0
Tawnya,37.3207151191309,-1000,0
Maurizia,55.7031631004065,-1000,0
Joeann,48.8243732135743,-1000,0
Valli,88.0472526652739,-1000,0
Garland,77.4270026944578,-1000,0
Roslyn,22.031509061344,-1000,0
George,51.5524827176705,-1000,0
Binnie,64.4938458921388,-1000,0
Willamina,93.4983178274706,-1000,0
Florentia,83.6836964590475,-1000,0
Michal,49.0590525558218,-1000,0
Ulrikaumeko,98.62302725669,-1000,0
Marlo,13.4717014851049,-1000,0
Brook,0.183817953802645,-1000,0
Aeriel,74.961253721267,-1000,0
Pauli,57.4304490117356,-1000,0
Iona,77.9437570367008,-1000,0
Nelia,11.8401452666149,-1000,0
Paule,23.2944440329447,-1000,0
Collie,58.2766639301553,-1000,0
Marla,92.3578322632238,-1000,0
Shannon,44.1496355691925,-1000,0
Amelia,53.6000531632453,-1000,0
Sheba,47.3565439227969,-1000,0
Lu,59.5564002403989,-1000,0
Gwen,97.5364062935114,-1000,0
Dre,45.8790480392054,-1000,0
Cassandry,22.5565523141995,-1000,0
Bennie,82.2579999221489,-1000,0
Abby,55.0234850496054,-1000,0
Bobbe,93.841047026217,-1000,0
Madalyn,8.81278016604483,-1000,0
Arlyne,28.5960428416729,-1000,0
Lucina,98.501032195054,-1000,0
Emmalee,98.3648237539455,-1000,0
Electra,55.2729511866346,-1000,0
Rozina,56.7075033206493,-1000,0
Rosemary,70.3213622793555,-1000,0
Milly,26.2916104402393,-1000,0
Cleopatra,53.3802724443376,-1000,0
Pansy,45.7506079692394,-1000,0
Suzanna,27.1096475888044,-1000,0
Corliss,53.2267706701532,-1000,0
Constance,13.485379004851,-1000,0
Gerti,56.7498627118766,-1000,0
Karla,63.7163990875706,-1000,0
Wanda,24.1345754591748,-1000,0
Blanca,91.5199713082984,-1000,0
Carmelle,86.9308233028278,-1000,0
Kaitlynn,34.0200043981895,-1000,0
Row,80.0982561195269,-1000,0
Anestassia,1.73144685104489,-1000,0
Fleur,60.0624879589304,-1000,0
Jewelle,54.916911222972,-1000,0
Charline,77.1195024019107,-1000,0
Timmi,18.9005305990577,-1000,0
Murial,81.534558464773,-1000,0
Imogene,20.2993669547141,-1000,0
Meggy,77.3361875908449,-1000,0
Nicoli,15.7239575404674,-1000,0
Jerrilee,92.7151789655909,-1000,0
Ginevra,90.2864991920069,-1000,0
Raychel,17.4413661239669,-1000,0
Gabriela,38.0500776460394,-1000,0
Robinetta,86.3605297636241,-1000,0
Veda,22.3308952758089,-1000,0
Kattie,98.4606833662838,-1000,0
Rozanne,27.6226944057271,-1000,0
Atlante,48.3692098176107,-1000,0
Josefina,31.9546344224364,-1000,0
